pname,subtitle,StrDate,EndDate,production,crew,cast,content,cover,stills
The Ghost Train,"by Arnold Ridley 
 Directed by Stephen Lloyd-Coombs",2018-09-22,2018-10-28,"{""Director"": [""Stephen Lloyd-Coombs""], ""Assistant Director"": [""Alexandra Kelly""], ""Set and Costume Design"": [""Ash Bell""], ""Lighting and Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Di Henderson"", ""Alexis Worthing""], ""Lighting and Sound Operation"": [""Ian Whalan""]}","{""Saul Hodgkin"": [""Herbert Price"", ""Mark Langham""], ""Elsie Winthrop"": [""Zo\u00eb Crawford""], ""Richard Winthrop"": [""John Willis-Richards""], ""Charles Murdock"": [""Kieran Foster""], ""Peggy Murdock"": [""Nicole Wineberg""], ""Ms Bourne"": [""Julia Price"", ""Lib Campbell""], ""Teddie Deakin"": [""Tristan Black""], ""Dr Sterling"": [""Elizabeth MacGregor""]}","It's 1923 and the evening mist draws in on an isolated train station in the British Midlands. A stalled locomotive, a missed connection, and an assorted collection of rail passengers find themselves stranded far from hearth and home.
The Station Master warns against it, but the passengers decide to ignore his tale of supernatural danger and death; They settle in for the night. Surely the old story of a tragic wreck and a spectral train that roars through the junction will not disturb their rest...
Recently described by
The Guardian
 as 'the greatest stage ghost story of all time', we're sure that this classic comedy thriller will delight our audience with chills, thrills, and not a few laughs as
The Ghost Train
 steams at full speed across the Genesian stage!",https://www.genesiantheatre.com.au/s2018/4/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2018/4/images/1.jpg', 'https://www.genesiantheatre.com.au/s2018/4/images/2.jpg', 'https://www.genesiantheatre.com.au/s2018/4/images/3.jpg']"
Under Milk Wood,"by Dylan Thomas 
 Directed by Ylaria Rogers",2017-03-11,2017-04-08,"{""Director"": [""Ylaria Rogers""], ""Assistant Director"": [""Michael Heming""], ""Set Design"": [""Martin Searles""], ""Costume Design"": [""Pheonuh Callan"", ""Susan Carveth""], ""Lighting Design"": [""Liam O'Keefe""]}","{""Stage Manager"": [""Eleni Pyretzis""], ""Assistant Stage Manager"": [""Macushla McGown""], ""Lighting & Sound Operation"": [""Carlin Hurdis"", ""Amy Roberts""]}","{""Turea Blyth"": [], ""Brooke Burns"": [], ""Sandra Campbell"": [], ""Caspar Hardaker"": [], ""Courtney Hough"": [], ""Tiffany Hoy"": [], ""Marty O'Neill"": [], ""Martin Searles"": [], ""Tim Quaife"": []}","Welsh poet Dylan Thomas' masterpiece
Under Milk Wood
 is an emotive and hilarious account of a spring day in a fictional Welsh seaside village. We learn of the inhabitants' dreams and desires, their loves and regrets. The play, closely associated with Richard Burton, was 'crowned with a storm of cheers' after its opening performance.
Under Milk Wood
 is like going 'Up the Garden Path' and 'Down the Rabbit Hole'. It has the beauty of your grandmother's garden, language that is eternal, and the strange reality you would find in Wonderland. The history of the town is rich and the characters are deep, quirky, and delightfully surprising. It is the town of 'Llareggub', which is 'bugger all' backwards. In
Under Milk Wood
 we follow their lives for a day and that is the beauty. The woman who lives with her two dead husbands, the blind sea captain who dreams of his love, Lily Smalls who stares at herself in a mirror... Dylan Thomas' characters reflect the beauty of how strange life can be and the joys and despairs of age and youth.
This piece by Dylan Thomas was said to give ""scope for all his versatility, for his gifts of humour and characterisation as well as his genius for poetry"". His language and characters are the heart and soul of the piece.",https://www.genesiantheatre.com.au/s2017/1/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2017/1/images/1.jpg', 'https://www.genesiantheatre.com.au/s2017/1/images/3.jpg']"
A Murder is Announced,"by Agatha Christie 
 Adapted by Leslie Darbon 
 Directed by John Grinston 
 Please note that the season is now completely sold out with no tickets left available.",2017-05-13,2017-06-24,"{""Director"": [""John Grinston""], ""Assistant Director"": [""Jonty Davies-Conyngham""], ""Set & Costume Design"": [""Rachel Giuffre""], ""Lighting Design"": [""Liam O'Keefe""], ""Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Concey Bosco""], ""Assistant Stage Manager"": [""Isabela Sandoli""], ""Lighting & Sound Operation"": [""Macushla McGown"", ""Carlin Hurdis""]}","{""Julia Simmons"": [""Molly Haddon""], ""Letitia Blacklock"": [""Suzann James""], ""Dora Bunner"": [""Ros Richards""], ""Patrick Simmons"": [""Anthony King""], ""Mitzi"": [""Jess Davis""], ""Miss Marple"": [""Sandra Bass""], ""Phillipa Haymes"": [""Emma Wright""], ""Clara  Swettenham"": [""Lois Marsh""], ""Edmund Swettenham"": [""Chris Bartlett""], ""Rudi Scherz"": [""David Lucas""], ""Inspector Craddock"": [""Peter Allison""], ""Sergeant Mellors"": [""Anthony Sadler""]}","Like bees to pollen, ants to honey, and the English to sugary tea, we are drawn to the scene of a crime. Usually the crime in question has already been committed. Yes - usually... Leslie Darbon's
A Murder is Announced
 - adapted from the novel by Agatha Christie - prompts disturbing thoughts about the sanity of a group of people who convene for what could be their own very public demise. But it also introduces us to passionate young lovers, village eccentrics, European fanatics, and Miss Jane Marple, in whom forensic brilliance battles chronic rheumatism for the good of nice people across Britain.
This is a play in which audiences will wonder 'whodunnit' amongst a group of tightly-knit friends, all of whom knew someone 'would-do-it'...
Warning: Please note that
A Murder is Announced
 includes brief instances of cigarette smoking in keeping with the period setting of the play. The Genesian Theatre does not endorse tobacco smoking and where appropriate excises it. All actors involved are fully aware of the dangers of smoking tobacco.",https://www.genesiantheatre.com.au/s2017/2/images/poster.jpg,['https://www.genesiantheatre.com.au/s2017/2/images/3.jpg']
Emma,"by Jane Austen 
 Adapted by Pamela Whalan 
 Directed by Barry Nielsen",2017-07-08,2017-08-19,"{""Director"": [""Barry Nielsen""], ""Assistant Director"": [""Trudy Ritchie""], ""Set Design"": [""Owen Gimblett""], ""Costume Design"": [""Peter Henson""], ""Lighting Design"": [""Timothy M Carter""], ""Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Diane Henderson"", ""Theo Papas""], ""Lighting & Sound Operation"": [""Leilani Loau"", ""Ian Whalan""]}","{""Mr Knightley"": [""Nathan Bennett""], ""Mr Woodhouse"": [""Timothy Bennett""], ""Mrs Weston"": [""Rowena McNicol""], ""Mr Weston"": [""David Stewart-Hunter""], ""Emma"": [""Emma Wright""], ""Harriet"": [""Kathryn Hutchins""], ""Miss Bates"": [""Turea Blyth""], ""Mr Elton"": [""Dimitri Armatas""], ""Jane"": [""Charlotte Robertson""], ""Frank Churchill"": [""Joshua Adams""], ""Mrs Elton"": [""Grace Swadling""]}","Jane Austen's
Emma
 is a play about the stirrings of new love, and how sometimes by trying to manipulate Cupid's arrow, we can completely miss the mark!
We meet Emma, an accomplished and wealthy young woman, where after a successful attempt to bring two people together (Mr Weston & her Governess Miss Taylor), she believes herself a natural matchmaker. Emma's lesson to learn is that unlike playing with her dolls as a child, the people of Highbury are flesh and blood, and messing with their love lives can cause some real consequences!
Emma's latest project is Miss Harriet Smith, a young woman of unknown parentage, who Emma takes under her wing, and coaches her to be amongst high society. Leading her affections away from an unworthy mate in Emma's eyes, and directing her towards a new suitor leads to unrequited love, broken hearts, and general confusion. And ultimately leads Emma to explore the contents of her own heart.
A heart-warming comedy but a love story at heart.",https://www.genesiantheatre.com.au/s2017/3/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2017/3/images/1.jpg', 'https://www.genesiantheatre.com.au/s2017/3/images/2.jpg', 'https://www.genesiantheatre.com.au/s2017/3/images/3.jpg']"
Figaro,"by Charles Morey 
 Based on the play by Beaumarchais 
 Directed by Shane Bates",2017-09-02,2017-10-14,"{""Director"": [""Shane Bates""], ""Assistant Director"": [""Sandra Bass""], ""Set Design"": [""Owen Gimblett""], ""Costume Design"": [""Susan Carveth""], ""Lighting and Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Elizabeth Munro""], ""Lighting and Sound Operation"": [""Wendy Greenfield""]}","{""Figaro"": [""Ted Crosby""], ""Suzanne"": [""Yasmin Arkinstall""], ""Count"": [""Paul Murton""], ""Countess"": [""Molly Haddon""], ""Marceline"": [""Melanie Robinson""], ""Dr Bartolo"": [""Douglas Rumble""], ""Cherubin/Doublemain"": [""Tim Murphy""], ""Antonio"": [""Edric Hong""], ""Bridoison"": [""Rod Stewart""], ""Fanchette"": [""Constance Khoo""], ""Basile"": [""Matthew Grasso""]}","The New York Times described
Figaro
, Charles Morey's new hit adaptation of
Le Mariage de Figaro
 by Beaumarchais, as 'Infectious' 'Tart' and 'Funny'! Often overshadowed by the Operatic version this hilarious romp remains tellingly relevant as Figaro himself explains ""I took up my pen and wrote a book everyone admired that offered the modest suggestion that the rich should pay more tax than the poor, speculators should be responsible for their own losses and government ministers should not accept gifts from wealthy merchants.""
Figaro, man servant to Count Almaviva, is engaged to Suzanne, maidservant to the Countess. The problem is that the Count, who has only been married 3 years himself, will not sign the marriage contract allowing the marriage to go ahead as he has ""other plans"" for Suzanne. A Figaro-ian scheme is needed to persuade the Count of his love for the Countess. But Suzanne and the Countess are dubious of its success and decide to take matters into their own hands. With lots of mistaken identities, broken promises, a love sick page, Antonio the gardeners melons, a birthmark in the shape of a spatula and lots of doors and letters, this hilarious romp set in late 18th century Spain highlights the difference in the class structure of the day.
When written in 1778
Le Mariage de Figaro
 by Beaumarchais was initially banned by the censors for its criticism of the French Aristocracy and shows us the growing revolutionary thinking in France at that time.",https://www.genesiantheatre.com.au/s2017/4/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2017/4/images/1.jpg', 'https://www.genesiantheatre.com.au/s2017/4/images/2.jpg', 'https://www.genesiantheatre.com.au/s2017/4/images/3.jpg']"
Bloody Murder,"By Ed Sala 
 Directed by Michael Heming 
 This production is completely sold out!",2017-10-28,2017-12-02,"{""Director"": [""Michael Heming""], ""Assistant Director"": [""Trudy Ritchie""], ""Set Design"": [""Martin Searles""], ""Costume Design"": [""Alison Winship""], ""Lighting Design"": [""Liam O'Keefe""], ""Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Danielle Brown""], ""Lighting and Sound Operation"": [""Emmanuel Said"", ""Patricia Sharpe""]}","{""Lady Somerset"": [""Narelle Jaeger""], ""Jane"": [""Lois Marsh""], ""Major Quimby"": [""Stephen Holland""], ""Devon Tremaine"": [""David Luke""], ""Emma Reese"": [""Emma Wright""], ""Charles Pomeroy"": [""Brendan Kelly""], ""The Countess"": [""Emma Wright""], ""Chief Inspector Phelps"": [""Brendan Kelly""], ""El Gato"": [""David Luke""], ""Motorist"": [""Lois Marsh""], ""Mr. Woo"": [""David Luke""], ""Nun"": [""Lois Marsh""]}","A comedic twist on the murder mystery genre! Six guests have been invited to a soiree at the isolated country estate of the elderly Lady Somerset.
When one of the guests is murdered before revealing a dark secret, Lady Somerset refuses to let her party be interrupted - even by the police! When the murderer strikes again, however, the remaining guests must work together to revenge themselves on someone who controls their lives - and deaths.
Diabolically different and laugh out loud funny, every twist and turn of this extraordinary new play will leave you on the edge of your seat... or falling off it with laughter!",https://www.genesiantheatre.com.au/s2017/5/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2017/5/images/2.jpg', 'https://www.genesiantheatre.com.au/s2017/5/images/3.jpg']"
Travelling North,"by David Williamson 
 Directed by Sahn Millington",2017-02-10,2018-03-24,"{""Director"": [""Sahn Millington""], ""Assistant Director"": [""Carlin Hurdis""], ""Set Design"": [""Debbie Smith"", ""Sahn Millington""], ""Costume Design"": [""Catriona McCabe""], ""Lighting Design"": [""Marty Gallagher""], ""Sound Design"": [""Mehran Mortezaei""]}","{""Stage Manager"": [""Hannah Dunwell""], ""Lighting and Sound Operation"": [""Janina Olmos-New""]}","{""Frank Brown"": [""Dave Kirkham""], ""Frances"": [""Jane Thorpe""], ""Sophie"": [""Megan Shooter""], ""Helen"": [""Lauren Birdsall""], ""Joan"": [""Celebrant"", ""Gallery Attendant"", ""Courtney Fleming""], ""Freddy Wicks"": [""Peter Irving Smith""], ""Dr Sarah Morgenstein"": [""Sandra Bass""]}","Set in the late 60's,
Travelling North
 by David Williamson sees Frank and Frances decide to desert their former lives and responsibilities in Melbourne for the tropics of Queensland. It is a love story that also looks at the issues of family, the topic of mortality, and the sheer frustrations of getting older. The play is full of warmth and humour.
Based on the true story of his mother-in-law finding new love in later life, this affectionate play is one of Williamson's best and most resonant.",https://www.genesiantheatre.com.au/s2017/6/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2017/6/images/1.jpg', 'https://www.genesiantheatre.com.au/s2017/6/images/3.jpg']"
Nothing Personal,"by David Williamson 
 Directed by Sahn Millington",2016-04-02,2016-05-07,"{""Director"": [""Sahn Millington""], ""Assistant Director"": [""Catherine Davies""], ""Set Coordinator"": [""Garry Bates""], ""Costume Coordinator"": [""Helen Kohlhagen""], ""Lighting Design"": [""Daniel Hitchings""], ""Sound Design"": [""Mehran Mortezaei""]}","{""Stage Manager"": [""Amy Roberts""], ""Assistant Stage Manager"": [""Eleni Pyretzis""], ""Lighting and Sound Operation"": [""Wendy Greenfield""]}","{""Bea"": [""Laurel McGowan""], ""Naomi"": [""Alexis Hammerton""], ""Roxanne"": [""Shane Bates""], ""Lucy"": [""Hayley Flinn""], ""Simon"": [""Ted Crosby""], ""Carla"": [""Denise Kitching""], ""Kelvin"": [""Patrick Costello""]}","Please note that this production contains some adult language and themes.
Set in a publishing house run by the formidable head of publishing, Bea, David Williamson's
Nothing Personal
 is about a power struggle between two women: an older publisher and her younger rival. After asserting her authority over the ambitious and younger Naomi by turning down the manuscript of a young new writer, Bea finds her position as head of the publishing house tested by Naomi and the war between the generations begins. The battle is complicated by the head of the board and infamous womaniser, Kelvin, who is torn between his own attraction to Naomi and her ability to lead the company into the future and his loyalty to the experienced and proven, Bea.
Add in mother and daughter relationships, questionable ethics and relationships that are sacrificed for ambition and you have some of what makes up
Nothing Personal
. Is Bea a relic of the past? Is Naomi the obvious choice for taking the publishing house into the future? Old versus new, classic versus pop culture. Do we really lose 'it' as we grow older?",https://www.genesiantheatre.com.au/s2016/1/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2016/1/images/1.jpg', 'https://www.genesiantheatre.com.au/s2016/1/images/2.jpg', 'https://www.genesiantheatre.com.au/s2016/1/images/3.jpg']"
Far From the Madding Crowd,"by Thomas Hardy 
 Adapted by Mark Healy 
 Directed by Debbie Smith",2016-05-21,2016-06-25,"{""Director"": [""Debbie Smith""], ""Assistant Director"": [""Michael McCrann""], ""Set Design"": [""Debbie Smith"", ""Bronte Barnicoat""], ""Costume Design"": [""Susan Carveth""], ""Lighting & Sound Design"": [""Michael Schell""], ""Musical Direction"": [""Cassady Maddox"", ""Dereck Cameron""]}","{""Stage Manager"": [""Macushla McGown""], ""Lighting & Sound Operation"": [""Janina Olmos-New"", ""Leah White"", ""Rob White""]}","{""Bathsheba"": [""Nicole Harwood""], ""Fanny"": [""Julia Robertson""], ""Liddy"": [""Kathryn Hutchins""], ""Maryanne"": [""Penelope Berkemeier""], ""Soberance"": [""Mrs Hurst"", ""Pauline Gardner""], ""Henrietta Frey"": [""Lucie Wardle""], ""Farmer Oak"": [""Ben Dewstow""], ""Sergeant Troy"": [""Louis Cummings""], ""William Boldwood"": [""Bobby Babin""], ""Laban"": [""Banks"", ""Vicar"", ""Rob Drew""], ""Coggan"": [""Pennyways"", ""Tom Marwick""], ""Teddy Coggan"": [""Max Mulvenney""]}","Thomas Hardy's 1874 novel
Far From the Madding Crowd
 was the subject of a popular film last year and we are thrilled to have obtained the rights to Mark Healy's recent stage adaptation for English Touring Theatre. The tale of a head-strong, feisty, yet ultimately compassionate woman and her three suitors, this acclaimed adaptation fuses vivid story-telling, live folk-song, and humour. Don't miss it!
Thomas Hardy's novels were concerned with the lives of country folk and the land. Set at the beginning of the industrial revolution,
Far From the Madding Crowd
 is perhaps foreshadowing the changes and social breakdown of country life in South West England; as the novel creates a sense of nostalgia for the traditional way of life - despite its harshness and hardships.
Mark Healy's close adaptation of the narrative was commissioned by the English Touring Theatre in 2008 and toured extensively during that year. Healy recognised that much of early nineteenth century writing tends to be melodramatic, and with so much drama happening within the story he focussed on showing as much of the day-to-day life of the individuals by grounding the play in authentic activities. The Genesian Theatre production features original music for the folk songs and choreography for the country dances.",https://www.genesiantheatre.com.au/s2016/2/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2016/2/images/1.jpg', 'https://www.genesiantheatre.com.au/s2016/2/images/2.jpg', 'https://www.genesiantheatre.com.au/s2016/2/images/3.jpg']"
Appointment With Death,"by Agatha Christie 
 Directed by Barry Nielsen",2016-07-09,2016-08-20,"{""Director"": [""Barry Nielsen""], ""Assistant Director"": [""Daniel Hitchings""], ""Set Design"": [""Owen Gimblett""], ""Costume Design"": [""Susan Carveth""], ""Lighting & Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Di Henderson"", ""Janina Olmos-New""], ""Lighting & Sound Operation"": [""Eleni Pyretzis"", ""Amy Roberts""]}","{""Mrs Boynton"": [""Leilani Loau""], ""Lennox Boynton"": [""Brendan Raymond""], ""Nadine Boynton"": [""Grace O'Connell""], ""Raymond Boynton"": [""David Belcher""], ""Ginevra Boynton"": [""Rebecca Sutherland""], ""Lady Westholme"": [""Sandra Bass""], ""Miss Pryce"": [""Lois Marsh""], ""Mr Higgs"": [""Rod Stewart""], ""Dr Wilhelm Gruber"": [""Vincent O'Neill""], ""Dr Sarah King"": [""Anna Hitchings""], ""The Dragoman"": [""Emmanuel Said""], ""Colonel Carbery"": [""David Stewart-Hunter""], ""Jefferson Cope"": [""Barry James Acosta""], ""Clerk"": [""Waiter"", ""Kunal Lakhani""]}","""The rose red city of Petra"" as one character romantically describes it becomes the backdrop for a fascinating study of the effect one powerful personality can have on those held in its spell. Mrs Boynton rules her family with an iron grip of cruelty and sadism but the family members yearn to break free. Can the power of love break the chains? Someone needs to die to speed the process. When that death comes everyone is a suspect, almost everyone has something to gain. Will the solution set them all free or condemn them to yet more misery?",https://www.genesiantheatre.com.au/s2016/3/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2016/3/images/1.jpg', 'https://www.genesiantheatre.com.au/s2016/3/images/3.jpg']"
Our House,"by Tim Firth 
 Music and Lyrics by Madness 
 Directed by Roger Gimblett 
 Musical Director Timothy M Carter 
 Choreographer Debbie Smith",2016-09-03,2016-10-08,"{""Director"": [""Roger Gimblett""], ""Musical Director"": [""Timothy M Carter""], ""Choreographer"": [""Debbie Smith""], ""Set Design"": [""Owen Gimblett""], ""Costume Design"": [""Susan Carveth"", ""Helen Kohlhagen""], ""Lighting & Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Liz Munro""], ""Assistant Stage Manager"": [""Noemie Jounot""], ""Lighting & Sound Operation"": [""Amy Roberts""]}","{""Joe Casey"": [""Matt Clark""], ""Sarah"": [""Rachel Hertz""], ""Kath"": [""Melanie Robinson""], ""Joe's Dad"": [""Geoff Stone""], ""Emmo"": [""Mark Kruize""], ""Lewis"": [""Jonty Davies-Conyngham""], ""Billie"": [""Erin Bogart""], ""Angie"": [""Tess Marshall""], ""Callum"": [""James Driessen""], ""Mr Pressman"": [""Robert Green""], ""Social Worker"": [""Sali Davis""], ""Heather"": [""Tamara Bailey""], ""Reecey"": [""Jack Berry""], ""Dancers"": [""Madelaine Caban"", ""Noemie Jounot""]}","What happens if you take a script by one of Britain's leading playwrights, Tim Firth, and combine it with the best songs of British super-group Madness? You get the Olivier Award winning musical
Our House
! A gripping, moving, and very funny story about a 16 year old boy facing the choice of two paths in life and all their ramifications, it features songs such as 'It Must Be Love', 'Baggy Trousers', 'Wings of a Dove', and of course 'Our House'. Be in quick for tickets to this Sydney premiere!",https://www.genesiantheatre.com.au/s2016/4/images/poster.jpg,['https://www.genesiantheatre.com.au/s2016/4/images/3.jpg']
Dracula,"by Bram Stoker 
 Adapted by Stephen Dietz 
 Directed by Michael Heming",2016-10-22,2016-12-03,"{""Director"": [""Michael Heming""], ""Assistant Director"": [""Shane Bates""], ""Set Design"": [""Martin Searles""], ""Costume Design"": [""Pheonuh Callan""], ""Lighting Design"": [""Liam O'Keefe""], ""Sound Design"": [""Michael Schell""]}","{""Stage Manager"": [""Macushla McGown""], ""Assistant Stage Manager"": [""Tim Swinn""], ""Lighting & Sound Operation"": [""Dereck Cameron"", ""Carlin Hurdis""]}","{""Lucy Westenra"": [""Madeleine Boyle""], ""Wilhelmina 'Mina' Murray"": [""Cassady Maddox""], ""Jonathan Harker"": [""Dimitri Armatas""], ""John Seward"": [""Nathan Bennett""], ""Renfield"": [""Cormac James""], ""Abraham Van Helsing"": [""Paul Murton""], ""Count Dracula"": [""Daniel D'Amico""], ""Attendant / Vixen"": [""Antoinette Grey""], ""Attendant / Maid / Vixen"": [""Eleni Pyretzis""], ""Attendant"": [""Tim Swinn""]}","We will donate 50% of the box office takings for the 12th November performance to the
Yellow Diamond Foundation
 for brain cancer research.
A mysterious and exotic European Count hires a young English solicitor to facilitate his migration to England. However, after trapping the solicitor in his Transylvanian castle and murdering the crew of the English-bound ship, it becomes apparent that the Count is in fact an ancient horror about to unleash on the unsuspecting people of London. Thus begins a series of strange and deadly events leading to a desperate struggle against a creature intent on corrupting the souls of the solicitor's fianc�e and closest friends.
Since its original publication in 1897,
Dracula
 has epitomised the Horror genre and popularised the vampire legend, spawning countless spin-offs and reimaginings over the last 120-odd years. Like many Victorian classics,
Dracula
 explores the clash between science and the supernatural, civilized society and the primal. The fear of the exotic and unknown; unspeakable evil hidden behind a cultured human visage; primal passions; the corruption of the soul; 'morality' (particularly the expectations placed on women); and courage against a seemingly unbeatable foe are all strong themes within this play.",https://www.genesiantheatre.com.au/s2016/5/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2016/5/images/1.jpg', 'https://www.genesiantheatre.com.au/s2016/5/images/2.jpg', 'https://www.genesiantheatre.com.au/s2016/5/images/3.jpg']"
Much Ado About Nothing,"by William Shakespeare 
 Directed by Deborah Mulhall",2017-01-28,2017-02-25,"{""Director"": [""Deborah Mulhall""], ""Assistant Director"": [""Mark Gerard Nagle""], ""Set Design"": [""Deborah Mulhall""], ""Costume Design"": [""Susan Carveth""], ""Lighting Design"": [""Tony Guyot""], ""Sound Design"": [""Deborah Mulhall""]}","{""Stage Manager"": [""Arielle Bosshard""], ""Lighting & Sound Operation"": [""Carlin Hurdis""]}","{""Constance"": [""Claire Oehme""], ""Leonato"": [""Tony Guyot""], ""Messenger"": [""Oatcake"", ""Frederick Hama""], ""Beatrice"": [""Emma Wright""], ""Antonia"": [""Sally Lewis""], ""Hero"": [""Catherine Lewis""], ""Don Pedro"": [""Johann Silva""], ""Benedick"": [""Ted Crosby""], ""Don John"": [""David Wiernik""], ""Claudio"": [""Matthew Raven""], ""Margaret"": [""Suev Wallace""], ""Ursula"": [""Davita van der Velde""], ""Dogberry"": [""Paul Barbary""], ""Verges"": [""Tracey Okeby Lucan""], ""Seacol"": [""Friar"", ""Damien Silvester""]}","Love is a battlefield!
The sailors are home from war and ready for a bit of R&R. The girls are happy to see them. Well, almost all the girls. There is still
that
 war of wits between Beatrice and Benedick.
From the moment he lays eyes on Hero and her large inheritance, Claudio knows he's going to marry her. His friend Benedick, though, isn't a fan of the whole ""marriage"" concept, swearing he'll remain a bachelor forever. And as Claudio sizes up Hero, and Benedick and Beatrice lock horns, other characters pair up and the
real
 battle begins - that of women to have the same rights as men.
A beloved comedy.  But it isn't a nice story. It's a world where men are able to defend their honour by fighting in a battle or a duel. But for a woman, there is no way back.
It's Shakespeare's
Much Ado About Nothing
 and it is full of the stuff of dark comedy. Behind all the wordplay, misconception, and pranks; Shakespeare exposes the dark, ugly truth about gender roles and inequality. Could a play be more relevant?",https://www.genesiantheatre.com.au/s2016/6/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2016/6/images/1.jpg', 'https://www.genesiantheatre.com.au/s2016/6/images/2.jpg', 'https://www.genesiantheatre.com.au/s2016/6/images/3.jpg']"
"Simpson, J. 202","by Richard Beynon 
 Directed by Mark Gerard Nagle",2015-04-11,2015-05-02,"{""Director"": [""Mark Gerard Nagle""], ""Assistant Director"": [""Sahn Millington""], ""Set Design"": [""Mark Gerard Nagle""], ""Costume Design"": [""Susan Carveth""], ""Lighting & Sound Design"": [""Mehran Mortezaei""]}","{""Stage Manager"": [""Glen Harman""], ""Assistant Stage Manager"": [""Leah White""], ""Lighting and Sound Operation"": [""Gregory Hellbourg"", ""Joseph Menzies""]}","{""Jack Simpson Kirkpatrick"": [""Ryan Bown""], ""Sarah Kirkpatrick"": [""Julia Kennedy Scott""], ""Annie Kirkpatrick"": [""Penelope Berkemeier""], ""Mr. Woodvine"": [""Tom Marwick""], ""Robbie Robertson"": [""Charles Cosgrove""], ""Sgt. Hookway"": [""Rob White""], ""Egyptian Girls"": [""Maedeh Timajchi"", ""Leah White""]}","The performance runs for 2 hours 15 mins, with interval.
Please note that this production includes brief use of strobe lighting.
The extraordinary story of Simpson and his Donkey comes to the Genesian stage, timed to coincide with the 100th anniversary of the Gallipoli landing.
This play by acclaimed Australian playwright Richard Beynon (
The Shifting Heart
) is funny, inspiring and ultimately deeply moving.",https://www.genesiantheatre.com.au/s2015/1/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2015/1/images/1.jpg', 'https://www.genesiantheatre.com.au/s2015/1/images/2.jpg', 'https://www.genesiantheatre.com.au/s2015/1/images/3.jpg']"
The Three Musketeers,"by Alexandre Dumas 
 Adapted by Ken Ludwig 
 Directed by Mark Banks with Roger Gimblett",2015-05-16,2015-06-27,"{""Director"": [""Mark Banks with Roger Gimblett""], ""Fight Director"": [""Kyle Rowling""], ""Set Design"": [""Owen Gimblett""], ""Costume Design"": [""Susan Carveth""], ""Lighting & Sound Design"": [""Michael Schell""], ""Choreographer"": [""Debbie Smith""]}","{""Stage Manager"": [""Hannah Dunwell""], ""Assistant Stage Manager"": [""Emmanuel Said""], ""Lighting and Sound Operation"": [""Amy Roberts"", ""Janina Olmos-New""], ""Fight Captain"": [""Chenier Moore""]}","{""Abbess"": [""Mother"", ""Shane Bates""], ""Aramis"": [""Chenier Moore""], ""Athos"": [""Nicholas Carter""], ""Cardinal Richelieu"": [""John Willis-Richards""], ""Constance"": [""Adele"", ""Anita Donovan""], ""d'Artagnan"": [""Taddeh Vartanians""], ""Duke of Buckingham"": [""DeBris"", ""Theo Kokkinidis""], ""Innkeeper"": [""Basille"", ""Emmanuel Said""], ""King Louis XIII"": [""Tim van Zuylen""], ""Milady"": [""Elizabeth MacGregor""], ""Porthos"": [""Rai Trippett""], ""Queen Anne"": [""Elise"", ""Emma Medbury""], ""Rochefort"": [""Daniel Collins""], ""Sabine"": [""Joanne Coleman""], ""Treville"": [""Father"", ""Michael Walker""]}","The Genesian Theatre will donate half of the box office takings from the Saturday 23rd May performance of
The Three Musketeers
 to the
Red Cross
 to help provide aid to the people affected by the recent earthquakes in Nepal.
The performance runs for 2 hours 15 mins, with interval.
'All for one and one for all!!' Brush up your sword play as this exciting and very funny adventure parries its way to the Genesian stage. This hit adaptation by Ken Ludwig, which was commissioned by the Bristol Old Vic in England, is based on the timeless swashbuckler by Alexandre Dumas, a tale of heroism, treachery, close escapes and above all, honour. One for the ENTIRE family!!",https://www.genesiantheatre.com.au/s2015/2/images/poster.jpg,"['https://www.genesiantheatre.com.au/s2015/2/images/1.jpg', 'https://www.genesiantheatre.com.au/s2015/2/images/3.jpg']"
